t,i
581.0,785
582.0,235
582.0,526
582.0,684
582.0,829
583.0,115
583.0,579
583.0,786
584.0,2
584.0,58
584.0,198
584.0,265
584.0,271
584.0,575
584.0,582
584.0,758
585.0,458
585.0,534
585.0,735
586.0,275
586.0,726
586.0,767
587.0,531
587.0,556
587.0,939
588.0,28
588.0,58
588.0,487
588.0,572
588.0,583
588.0,609
588.0,727
588.0,861
589.0,162
589.0,192
589.0,356
589.0,393
589.0,414
589.0,569
589.0,809
589.0,855
589.0,932
590.0,252
590.0,253
590.0,291
590.0,339
590.0,355
590.0,451
590.0,486
590.0,506
590.0,678
590.0,755
590.0,791
590.0,996
591.0,84
591.0,512
591.0,543
591.0,630
591.0,922
592.0,17
592.0,106
592.0,237
592.0,304
592.0,367
592.0,888
592.0,958
593.0,131
593.0,204
593.0,222
593.0,305
593.0,529
593.0,662
593.0,781
593.0,843
594.0,175
594.0,392
595.0,63
595.0,132
595.0,210
595.0,342
595.0,376
595.0,544
595.0,940
595.0,980
596.0,249
596.0,615
596.0,635
596.0,925
597.0,137
597.0,555
597.0,658
597.0,891
597.0,914
598.0,52
598.0,474
598.0,478
598.0,574
598.0,795
598.0,878
599.0,53
599.0,124
599.0,143
599.0,379
599.0,483
599.0,562
599.0,653
599.0,718
599.0,885
599.0,902
600.0,11
600.0,238
600.0,382
600.0,450
600.0,733
601.0,132
601.0,470
601.0,481
601.0,598
601.0,762
602.0,220
602.0,284
602.0,300
602.0,383
602.0,574
602.0,693
602.0,789
603.0,92
603.0,102
603.0,185
603.0,407
603.0,500
603.0,790
603.0,807
603.0,822
604.0,139
604.0,511
604.0,513
604.0,629
605.0,128
605.0,189
605.0,462
605.0,515
606.0,56
606.0,77
606.0,211
606.0,230
606.0,278
606.0,316
606.0,464
606.0,571
606.0,759
606.0,938
607.0,97
607.0,188
607.0,226
607.0,273
607.0,430
607.0,440
607.0,481
607.0,513
607.0,881
607.0,949
607.0,986
607.0,989
608.0,117
608.0,146
608.0,181
608.0,200
608.0,243
608.0,310
608.0,341
608.0,381
608.0,527
608.0,580
608.0,769
608.0,960
609.0,101
609.0,145
609.0,183
609.0,559
610.0,20
610.0,38
610.0,68
610.0,357
610.0,596
610.0,839
610.0,950
610.0,955
611.0,48
611.0,176
611.0,311
611.0,420
611.0,532
611.0,611
611.0,643
611.0,774
611.0,842
611.0,882
612.0,46
612.0,55
612.0,103
612.0,281
612.0,426
612.0,448
612.0,489
612.0,605
612.0,760
612.0,911
613.0,91
613.0,524
613.0,660
613.0,683
613.0,685
613.0,815
613.0,837
613.0,918
613.0,919
614.0,216
614.0,263
614.0,301
614.0,484
614.0,725
614.0,748
614.0,794
614.0,834
614.0,988
615.0,241
615.0,269
615.0,311
615.0,528
615.0,620
615.0,628
615.0,910
616.0,45
616.0,46
616.0,60
616.0,363
616.0,677
616.0,926
616.0,999
617.0,380
617.0,437
617.0,475
617.0,799
617.0,802
617.0,935
617.0,936
618.0,375
618.0,686
618.0,720
619.0,43
619.0,165
619.0,167
619.0,448
619.0,517
619.0,561
619.0,937
619.0,973
620.0,184
620.0,223
620.0,256
620.0,322
620.0,581
620.0,698
621.0,432
621.0,473
621.0,475
621.0,984
622.0,5
622.0,69
622.0,578
622.0,930
623.0,502
624.0,157
624.0,276
624.0,293
624.0,313
624.0,416
624.0,732
625.0,62
625.0,261
625.0,343
625.0,747
626.0,147
626.0,399
626.0,597
626.0,618
626.0,633
626.0,974
627.0,25
627.0,41
627.0,245
628.0,54
628.0,61
628.0,79
628.0,228
628.0,710
628.0,763
629.0,730
630.0,33
630.0,126
630.0,225
630.0,292
630.0,670
631.0,93
631.0,522
631.0,699
631.0,737
631.0,892
631.0,954
631.0,978
632.0,23
632.0,121
632.0,323
632.0,494
632.0,809
633.0,96
633.0,111
633.0,199
633.0,219
633.0,358
634.0,209
634.0,215
634.0,348
634.0,374
634.0,410
634.0,472
634.0,568
635.0,31
635.0,37
635.0,70
635.0,207
635.0,267
635.0,345
635.0,562
635.0,626
635.0,634
635.0,674
635.0,695
636.0,32
636.0,81
636.0,195
636.0,308
636.0,387
636.0,444
636.0,825
637.0,421
637.0,434
637.0,443
637.0,644
637.0,742
637.0,827
637.0,829
638.0,119
638.0,214
638.0,371
638.0,424
638.0,480
638.0,531
638.0,702
638.0,756
638.0,906
639.0,67
639.0,81
639.0,259
639.0,417
639.0,661
639.0,728
639.0,798
640.0,104
640.0,118
640.0,509
640.0,800
640.0,830
640.0,850
641.0,0
641.0,94
641.0,250
641.0,312
641.0,362
641.0,398
641.0,610
641.0,632
641.0,745
641.0,967
642.0,50
642.0,87
642.0,169
642.0,296
642.0,300
642.0,327
642.0,331
642.0,401
642.0,441
642.0,471
642.0,520
642.0,533
642.0,557
642.0,617
642.0,654
642.0,865
642.0,876
642.0,993
643.0,26
643.0,81
643.0,187
643.0,246
643.0,391
643.0,408
643.0,465
643.0,657
643.0,740
643.0,744
643.0,856
644.0,44
644.0,133
644.0,136
644.0,369
644.0,372
644.0,612
644.0,738
644.0,837
645.0,82
645.0,317
645.0,340
645.0,495
645.0,719
645.0,746
645.0,765
646.0,152
646.0,335
646.0,439
646.0,496
646.0,520
646.0,535
646.0,576
646.0,666
646.0,691
646.0,696
646.0,711
646.0,836
646.0,893
646.0,951
647.0,81
647.0,144
647.0,236
647.0,262
647.0,332
647.0,338
647.0,616
647.0,708
647.0,804
647.0,896
647.0,908
647.0,960
648.0,191
648.0,196
648.0,251
648.0,254
648.0,314
648.0,337
648.0,365
648.0,539
648.0,625
648.0,637
648.0,715
648.0,723
648.0,724
648.0,782
648.0,939
649.0,7
649.0,10
649.0,36
649.0,42
649.0,73
649.0,86
649.0,140
649.0,373
649.0,439
649.0,498
649.0,521
649.0,558
649.0,593
649.0,689
649.0,701
649.0,891
649.0,941
649.0,979
650.0,149
650.0,155
650.0,168
650.0,174
650.0,201
650.0,428
650.0,505
650.0,516
650.0,563
650.0,649
650.0,668
650.0,694
650.0,741
650.0,796
650.0,816
650.0,999
651.0,59
651.0,66
651.0,82
651.0,151
651.0,205
651.0,231
651.0,277
651.0,335
651.0,523
651.0,587
651.0,592
651.0,650
651.0,665
651.0,792
651.0,855
651.0,920
651.0,935
651.0,992
652.0,6
652.0,170
652.0,306
652.0,346
652.0,388
652.0,429
652.0,586
652.0,687
652.0,701
652.0,770
652.0,831
652.0,913
652.0,972
652.0,977
653.0,16
653.0,78
653.0,191
653.0,253
653.0,349
653.0,418
653.0,623
653.0,627
653.0,648
653.0,675
653.0,679
653.0,812
653.0,813
653.0,938
653.0,958
653.0,995
654.0,12
654.0,49
654.0,76
654.0,86
654.0,206
654.0,266
654.0,286
654.0,290
654.0,309
654.0,320
654.0,350
654.0,365
654.0,384
654.0,390
654.0,492
654.0,541
654.0,552
654.0,566
654.0,595
654.0,600
654.0,614
654.0,705
654.0,786
654.0,832
654.0,847
654.0,953
655.0,6
655.0,80
655.0,82
655.0,134
655.0,142
655.0,173
655.0,353
655.0,406
655.0,415
655.0,436
655.0,567
655.0,682
655.0,796
655.0,845
655.0,861
655.0,862
655.0,919
655.0,940
655.0,973
655.0,980
656.0,100
656.0,141
656.0,270
656.0,466
656.0,537
656.0,664
656.0,667
656.0,680
656.0,821
656.0,907
656.0,949
656.0,998
657.0,51
657.0,108
657.0,120
657.0,154
657.0,280
657.0,285
657.0,297
657.0,452
657.0,479
657.0,514
657.0,519
657.0,534
657.0,549
657.0,599
657.0,640
657.0,843
657.0,904
657.0,927
657.0,947
657.0,970
657.0,996
658.0,2
658.0,64
658.0,125
658.0,329
658.0,402
658.0,442
658.0,491
658.0,579
658.0,595
658.0,712
658.0,716
658.0,752
658.0,822
658.0,851
658.0,869
658.0,882
658.0,922
658.0,955
658.0,994
659.0,150
659.0,166
659.0,239
659.0,257
659.0,294
659.0,538
659.0,672
659.0,777
659.0,787
659.0,848
659.0,868
659.0,881
659.0,888
660.0,232
660.0,438
660.0,453
660.0,482
660.0,529
660.0,570
660.0,880
660.0,963
661.0,268
661.0,415
661.0,807
661.0,883
661.0,926
662.0,16
662.0,88
662.0,159
662.0,176
662.0,497
662.0,697
662.0,716
662.0,717
663.0,427
664.0,114
664.0,386
664.0,886
665.0,585
666.0,99
666.0,446
666.0,543
666.0,608
667.0,378
667.0,540
667.0,878
668.0,116
668.0,490
669.0,39
669.0,591
670.0,193
670.0,325
670.0,681
670.0,709
670.0,801
671.0,202
671.0,298
671.0,389
671.0,624
671.0,630
672.0,127
672.0,793
673.0,158
673.0,655
674.0,19
674.0,591
674.0,645
675.0,123
675.0,518
675.0,671
676.0,504
676.0,714
676.0,757
676.0,764
677.0,19
677.0,227
677.0,233
677.0,431
678.0,180
678.0,213
678.0,224
678.0,344
678.0,392
678.0,419
678.0,433
678.0,548
678.0,755
678.0,936
679.0,14
679.0,72
679.0,89
679.0,368
679.0,396
679.0,651
679.0,692
679.0,911
680.0,330
680.0,400
680.0,510
680.0,545
680.0,607
680.0,976
681.0,274
681.0,693
681.0,749
682.0,146
682.0,255
682.0,305
682.0,704
682.0,779
682.0,834
683.0,135
683.0,403
683.0,809
684.0,75
684.0,179
684.0,445
684.0,773
684.0,842
684.0,984
685.0,361
685.0,730
686.0,178
686.0,221
686.0,284
686.0,291
686.0,301
686.0,577
686.0,606
686.0,974
687.0,74
687.0,92
687.0,156
687.0,326
687.0,656
687.0,778
687.0,988
688.0,113
688.0,235
688.0,494
688.0,588
688.0,621
688.0,629
689.0,90
689.0,445
689.0,722
689.0,754
689.0,839
689.0,979
690.0,272
690.0,395
690.0,409
690.0,413
690.0,847
690.0,918
691.0,303
691.0,379
691.0,394
691.0,459
691.0,603
691.0,718
691.0,784
691.0,788
692.0,47
692.0,172
692.0,594
692.0,707
692.0,713
692.0,937
693.0,129
693.0,282
693.0,321
693.0,328
693.0,589
693.0,771
693.0,772
694.0,220
694.0,279
694.0,508
694.0,553
694.0,721
694.0,736
695.0,17
695.0,164
695.0,468
695.0,647
696.0,57
696.0,457
697.0,106
697.0,215
697.0,295
697.0,397
697.0,447
697.0,474
697.0,511
697.0,581
697.0,734
698.0,177
698.0,184
698.0,324
698.0,439
698.0,554
698.0,639
698.0,965
698.0,989
699.0,96
699.0,188
699.0,197
699.0,354
699.0,726
700.0,318
700.0,334
700.0,440
700.0,646
700.0,663
700.0,758
700.0,780
701.0,21
701.0,129
701.0,218
701.0,219
701.0,237
701.0,266
701.0,273
701.0,476
701.0,580
701.0,739
701.0,906
701.0,951
702.0,4
702.0,366
702.0,435
702.0,642
702.0,822
702.0,832
703.0,83
703.0,188
703.0,333
703.0,469
703.0,791
703.0,802
703.0,973
703.0,977
703.0,996
704.0,241
704.0,455
704.0,460
704.0,488
704.0,528
704.0,584
704.0,830
704.0,852
704.0,960
705.0,27
705.0,40
705.0,60
705.0,197
705.0,248
705.0,381
705.0,605
705.0,690
705.0,904
705.0,972
706.0,122
706.0,249
706.0,423
706.0,514
706.0,812
706.0,883
706.0,932
707.0,33
707.0,376
707.0,435
707.0,469
707.0,501
707.0,512
707.0,729
707.0,762
708.0,48
708.0,260
708.0,486
708.0,493
708.0,636
708.0,767
709.0,288
709.0,381
709.0,478
709.0,610
709.0,658
710.0,364
710.0,449
710.0,750
711.0,25
711.0,336
711.0,506
711.0,565
711.0,813
711.0,888
711.0,940
712.0,223
712.0,473
712.0,652
712.0,684
712.0,785
712.0,789
713.0,649
713.0,711
714.0,256
714.0,562
714.0,892
715.0,8
715.0,97
715.0,190
715.0,228
715.0,234
715.0,246
715.0,265
715.0,270
715.0,551
715.0,724
715.0,829
716.0,252
716.0,370
716.0,578
716.0,676
716.0,893
717.0,1
717.0,34
717.0,35
717.0,153
717.0,200
717.0,310
717.0,359
718.0,52
718.0,502
718.0,641
718.0,703
718.0,800
718.0,889
718.0,956
719.0,434
719.0,536
719.0,579
719.0,638
719.0,678
719.0,926
720.0,612
720.0,688
720.0,850
720.0,950
720.0,999
721.0,264
721.0,776
721.0,825
722.0,190
722.0,267
722.0,299
722.0,412
722.0,513
722.0,572
722.0,843
722.0,863
723.0,37
723.0,175
723.0,207
723.0,236
723.0,574
723.0,619
724.0,437
724.0,627
725.0,513
725.0,727
726.0,110
726.0,187
726.0,530
726.0,935
727.0,15
727.0,525
727.0,526
728.0,311
728.0,627
728.0,881
728.0,908
729.0,59
729.0,198
729.0,662
729.0,861
730.0,18
730.0,98
730.0,163
730.0,467
730.0,760
731.0,165
731.0,461
731.0,768
732.0,29
732.0,105
732.0,168
732.0,315
733.0,65
733.0,186
733.0,544
733.0,836
733.0,958
734.0,147
734.0,537
735.0,45
735.0,625
735.0,807
736.0,95
736.0,411
736.0,463
736.0,770
736.0,788
736.0,798
737.0,137
737.0,203
737.0,547
737.0,799
738.0,20
738.0,212
738.0,368
738.0,436
738.0,454
738.0,523
739.0,67
739.0,380
739.0,425
739.0,539
739.0,569
739.0,774
740.0,377
740.0,561
740.0,728
741.0,385
741.0,422
741.0,485
741.0,692
741.0,788
741.0,984
742.0,170
742.0,379
742.0,428
742.0,679
742.0,855
743.0,136
743.0,143
743.0,162
743.0,215
743.0,407
743.0,711
743.0,741
743.0,910
744.0,6
744.0,58
744.0,287
744.0,335
744.0,356
744.0,430
744.0,456
744.0,540
744.0,691
745.0,125
745.0,132
745.0,214
745.0,300
745.0,405
745.0,500
745.0,651
745.0,763
745.0,794
745.0,862
746.0,145
746.0,216
746.0,230
746.0,329
746.0,348
746.0,401
746.0,443
746.0,556
747.0,6
747.0,79
747.0,244
747.0,271
747.0,332
747.0,417
747.0,598
747.0,620
748.0,5
748.0,240
748.0,308
748.0,732
748.0,830
748.0,896
748.0,959
749.0,30
749.0,158
749.0,178
749.0,189
749.0,278
749.0,335
749.0,388
749.0,484
749.0,576
749.0,865
749.0,932
750.0,12
750.0,53
750.0,109
750.0,196
750.0,210
750.0,247
750.0,258
750.0,283
750.0,433
750.0,609
750.0,759
750.0,832
750.0,837
750.0,919
751.0,46
751.0,191
751.0,238
751.0,281
751.0,429
751.0,550
751.0,604
751.0,667
751.0,699
751.0,719
751.0,735
751.0,809
751.0,878
751.0,936
751.0,998
752.0,24
752.0,77
752.0,115
752.0,262
752.0,319
752.0,384
752.0,462
752.0,516
752.0,583
752.0,839
752.0,885
753.0,94
753.0,503
753.0,521
753.0,575
753.0,632
753.0,672
753.0,685
753.0,687
753.0,695
753.0,800
753.0,824
753.0,829
754.0,157
754.0,204
754.0,226
754.0,424
754.0,548
754.0,628
754.0,637
754.0,825
754.0,848
754.0,871
754.0,934
754.0,938
754.0,939
754.0,950
755.0,64
755.0,193
755.0,209
755.0,316
755.0,367
755.0,387
755.0,415
755.0,450
755.0,492
755.0,510
755.0,700
755.0,708
755.0,775
755.0,842
755.0,880
755.0,930
756.0,12
756.0,81
756.0,148
756.0,263
756.0,421
756.0,426
756.0,573
756.0,601
756.0,889
756.0,937
756.0,954
757.0,80
757.0,91
757.0,121
757.0,126
757.0,441
757.0,459
757.0,607
757.0,643
757.0,815
757.0,985
758.0,11
758.0,112
758.0,191
758.0,313
758.0,403
758.0,404
758.0,472
758.0,489
758.0,697
758.0,857
758.0,911
760.0,81
760.0,171
760.0,225
760.0,753
760.0,949
761.0,85
761.0,464
761.0,792
761.0,913
762.0,142
762.0,201
762.0,269
762.0,438
762.0,793
763.0,128
763.0,155
763.0,290
763.0,346
763.0,369
763.0,542
763.0,599
763.0,976
764.0,3
764.0,111
764.0,116
764.0,139
764.0,166
764.0,504
764.0,712
764.0,843
764.0,902
765.0,63
765.0,608
765.0,892
766.0,73
766.0,169
766.0,174
766.0,233
766.0,242
766.0,251
766.0,505
766.0,618
766.0,777
766.0,847
766.0,864
767.0,194
767.0,709
767.0,786
768.0,345
768.0,611
768.0,723
768.0,963
769.0,253
769.0,291
769.0,351
769.0,496
769.0,558
769.0,756
769.0,801
769.0,804
769.0,955
770.0,102
770.0,434
770.0,532
770.0,549
770.0,702
770.0,974
771.0,122
771.0,228
771.0,275
771.0,448
771.0,541
771.0,582
771.0,722
771.0,906
772.0,58
772.0,118
772.0,172
772.0,321
772.0,587
772.0,659
772.0,918
773.0,31
773.0,154
773.0,282
773.0,406
773.0,668
773.0,764
774.0,756
775.0,84
775.0,199
775.0,322
775.0,398
775.0,448
776.0,87
776.0,141
776.0,306
776.0,449
776.0,626
776.0,669
776.0,694
776.0,725
776.0,967
776.0,973
777.0,13
777.0,180
777.0,400
777.0,406
777.0,522
778.0,4
778.0,42
778.0,307
778.0,508
778.0,524
779.0,159
779.0,257
779.0,343
779.0,344
779.0,570
779.0,711
779.0,733
779.0,744
779.0,850
780.0,141
780.0,222
780.0,302
780.0,585
780.0,594
780.0,635
780.0,914
781.0,43
781.0,138
781.0,362
781.0,392
781.0,593
781.0,683
781.0,689
781.0,714
781.0,745
781.0,888
781.0,988
782.0,527
782.0,568
782.0,677
783.0,343
783.0,502
783.0,511
784.0,104
784.0,223
784.0,466
784.0,487
784.0,641
784.0,767
784.0,812
784.0,863
784.0,925
784.0,978
785.0,254
785.0,261
785.0,276
785.0,341
785.0,431
785.0,432
785.0,529
785.0,590
785.0,595
785.0,597
785.0,802
785.0,907
786.0,21
786.0,82
786.0,141
786.0,179
786.0,182
786.0,349
786.0,560
786.0,742
786.0,984
787.0,14
787.0,211
787.0,239
787.0,363
787.0,487
787.0,490
787.0,656
787.0,852
787.0,904
788.0,37
788.0,114
788.0,355
788.0,586
788.0,595
788.0,653
789.0,82
789.0,292
789.0,706
789.0,721
789.0,834
790.0,103
790.0,328
790.0,342
790.0,861
790.0,996
791.0,22
791.0,23
791.0,130
791.0,145
791.0,349
791.0,396
791.0,420
791.0,451
791.0,458
791.0,515
791.0,520
791.0,533
791.0,538
791.0,624
791.0,698
791.0,830
791.0,893
792.0,100
792.0,323
792.0,481
792.0,498
792.0,762
793.0,19
793.0,39
793.0,83
793.0,286
793.0,391
793.0,479
793.0,648
793.0,718
793.0,730
793.0,746
793.0,798
793.0,865
794.0,82
794.0,277
794.0,293
794.0,310
794.0,395
795.0,69
795.0,78
795.0,217
795.0,349
795.0,726
796.0,19
796.0,38
796.0,50
796.0,145
796.0,152
796.0,208
796.0,224
796.0,334
796.0,555
796.0,580
796.0,684
796.0,769
796.0,919
797.0,93
797.0,117
797.0,120
797.0,124
797.0,150
797.0,229
797.0,255
797.0,305
797.0,399
797.0,507
797.0,538
797.0,614
797.0,693
797.0,881
798.0,68
798.0,133
798.0,707
798.0,736
798.0,979
799.0,10
799.0,19
799.0,131
799.0,160
799.0,164
799.0,477
799.0,623
799.0,651
799.0,655
799.0,665
799.0,731
799.0,783
799.0,878
799.0,885
799.0,960
800.0,61
800.0,248
800.0,259
800.0,338
800.0,474
800.0,576
800.0,603
800.0,644
800.0,778
800.0,827
800.0,836
800.0,926
800.0,936
800.0,999
801.0,92
801.0,545
801.0,596
801.0,605
801.0,636
801.0,705
801.0,773
801.0,822
801.0,825
801.0,857
801.0,908
801.0,989
802.0,167
802.0,284
802.0,365
802.0,413
802.0,482
802.0,535
802.0,554
802.0,575
802.0,630
802.0,633
802.0,739
802.0,784
802.0,858
802.0,949
802.0,951
802.0,958
803.0,57
803.0,74
803.0,234
803.0,296
803.0,324
803.0,337
803.0,410
803.0,416
803.0,497
803.0,557
803.0,629
803.0,686
803.0,704
803.0,835
803.0,847
803.0,866
803.0,935
803.0,977
804.0,123
804.0,181
804.0,265
804.0,506
804.0,696
804.0,813
804.0,883
804.0,931
804.0,938
804.0,939
805.0,2
805.0,40
805.0,147
805.0,250
805.0,303
805.0,470
805.0,579
805.0,710
805.0,995
806.0,256
806.0,382
806.0,446
806.0,575
806.0,620
806.0,855
806.0,856
806.0,983
807.0,36
807.0,297
807.0,517
807.0,815
807.0,910
808.0,32
808.0,264
808.0,383
808.0,393
808.0,534
808.0,547
808.0,743
808.0,947
809.0,192
809.0,202
809.0,972
810.0,631
810.0,660
811.0,58
811.0,353
811.0,650
811.0,774
812.0,28
812.0,571
813.0,59
813.0,588
814.0,140
814.0,891
815.0,51
815.0,301
815.0,457
815.0,461
815.0,490
815.0,781
815.0,848
816.0,381
816.0,602
816.0,661
816.0,740
816.0,782
817.0,592
817.0,676
818.0,60
818.0,298
818.0,378
818.0,666
818.0,842
819.0,110
819.0,135
819.0,173
819.0,606
819.0,673
820.0,175
820.0,504
820.0,615
821.0,772
822.0,7
822.0,95
822.0,195
822.0,231
822.0,266
823.0,415
823.0,551
823.0,559
823.0,566
823.0,807
823.0,902
824.0,55
824.0,312
824.0,553
824.0,639
825.0,107
825.0,518
825.0,688
826.0,311
826.0,427
826.0,462
826.0,649
827.0,56
827.0,86
827.0,91
827.0,737
827.0,788
828.0,116
828.0,193
828.0,423
828.0,495
828.0,678
828.0,748
829.0,62
829.0,183
829.0,453
829.0,519
829.0,761
829.0,821
830.0,177
830.0,403
830.0,475
830.0,476
831.0,161
831.0,336
831.0,371
831.0,390
831.0,791
832.0,26
832.0,108
832.0,394
832.0,583
833.0,198
833.0,235
833.0,350
833.0,440
833.0,475
833.0,552
833.0,717
834.0,339
834.0,495
834.0,654
834.0,708
835.0,25
835.0,47
835.0,113
835.0,280
835.0,589
835.0,621
835.0,664
835.0,670
835.0,800
835.0,955
835.0,980
836.0,132
836.0,146
836.0,155
836.0,330
836.0,354
836.0,447
836.0,471
836.0,512
836.0,569
836.0,642
836.0,911
836.0,954
836.0,967
837.0,46
837.0,134
837.0,188
837.0,249
837.0,278
837.0,283
837.0,288
837.0,331
837.0,339
837.0,514
837.0,546
837.0,690
837.0,720
837.0,892
838.0,431
838.0,701
838.0,716
839.0,63
839.0,112
839.0,340
839.0,352
839.0,499
839.0,622
839.0,763
839.0,785
839.0,809
839.0,887
840.0,12
840.0,18
840.0,46
840.0,106
840.0,358
840.0,376
840.0,578
840.0,640
840.0,682
840.0,843
840.0,937
840.0,996
841.0,16
841.0,24
841.0,67
841.0,79
841.0,96
841.0,98
841.0,275
841.0,289
841.0,314
841.0,384
841.0,501
841.0,706
841.0,716
841.0,757
841.0,799
841.0,872
841.0,976
842.0,115
842.0,122
842.0,129
842.0,176
842.0,307
842.0,437
842.0,454
842.0,528
842.0,647
842.0,896
843.0,27
843.0,29
843.0,208
843.0,218
843.0,360
843.0,449
843.0,514
843.0,722
843.0,861
843.0,962
844.0,4
844.0,41
844.0,44
844.0,79
844.0,203
844.0,289
844.0,295
844.0,299
844.0,339
844.0,806
844.0,865
844.0,974
845.0,54
845.0,178
845.0,430
845.0,503
845.0,658
845.0,675
845.0,797
845.0,932
846.0,1
846.0,33
846.0,64
846.0,170
846.0,419
846.0,465
846.0,562
846.0,591
846.0,613
846.0,817
846.0,825
846.0,839
846.0,906
846.0,951
846.0,986
847.0,17
847.0,21
847.0,128
847.0,163
847.0,219
847.0,445
847.0,450
847.0,526
847.0,577
847.0,618
847.0,723
847.0,832
847.0,855
848.0,65
848.0,243
848.0,279
848.0,309
848.0,375
848.0,442
848.0,521
848.0,586
848.0,662
848.0,663
848.0,760
848.0,837
848.0,893
848.0,973
849.0,232
849.0,282
849.0,303
849.0,310
849.0,317
849.0,326
849.0,426
849.0,434
849.0,439
849.0,443
849.0,612
849.0,671
849.0,766
849.0,829
849.0,926
849.0,950
849.0,988
850.0,373
850.0,435
850.0,492
850.0,771
850.0,790
850.0,918
851.0,272
851.0,460
851.0,537
851.0,749
851.0,752
851.0,802
851.0,975
852.0,99
852.0,205
852.0,252
852.0,491
852.0,672
852.0,750
852.0,827
852.0,920
852.0,953
852.0,970
853.0,204
853.0,221
853.0,617
853.0,735
853.0,768
854.0,172
854.0,377
854.0,435
854.0,556
854.0,643
854.0,795
854.0,922
855.0,71
855.0,151
855.0,251
855.0,359
855.0,364
855.0,591
855.0,765
856.0,42
856.0,509
856.0,564
856.0,567
856.0,626
856.0,712
856.0,931
857.0,346
857.0,444
858.0,391
858.0,732
858.0,789
859.0,104
859.0,213
859.0,610
859.0,734
859.0,738
859.0,881
860.0,138
860.0,145
860.0,166
860.0,207
860.0,245
860.0,435
860.0,478
860.0,523
861.0,214
861.0,366
861.0,455
861.0,543
861.0,657
861.0,686
861.0,956
862.0,10
862.0,344
862.0,372
862.0,402
862.0,497
862.0,531
862.0,609
862.0,713
863.0,127
863.0,137
863.0,149
863.0,568
864.0,6
864.0,49
864.0,418
864.0,424
864.0,469
864.0,646
864.0,652
864.0,668
864.0,721
864.0,935
865.0,143
865.0,530
865.0,635
865.0,645
865.0,742
865.0,963
866.0,66
866.0,153
866.0,210
866.0,212
866.0,216
866.0,260
866.0,494
866.0,510
866.0,703
866.0,744
867.0,5
867.0,77
867.0,144
867.0,483
867.0,563
867.0,815
867.0,848
867.0,880
867.0,888
867.0,958
868.0,6
868.0,285
868.0,411
868.0,474
868.0,680
868.0,711
868.0,754
868.0,863
868.0,878
868.0,972
868.0,989
869.0,15
869.0,154
869.0,408
869.0,448
869.0,469
869.0,984
870.0,119
870.0,215
870.0,238
870.0,357
870.0,468
870.0,572
870.0,804
870.0,960
871.0,683
871.0,694
871.0,777
871.0,876
872.0,486
872.0,794
873.0,315
873.0,428
873.0,830
874.0,158
874.0,220
874.0,241
874.0,338
874.0,448
874.0,493
874.0,728
875.0,323
875.0,370
875.0,674
875.0,822
875.0,847
877.0,40
877.0,308
877.0,438
878.0,85
878.0,87
878.0,234
878.0,595
878.0,949
879.0,35
879.0,199
879.0,287
879.0,414
880.0,31
880.0,89
880.0,109
880.0,263
880.0,327
880.0,397
880.0,451
881.0,532
881.0,595
881.0,779
881.0,792
882.0,191
882.0,574
882.0,850
883.0,240
883.0,397
883.0,505
884.0,237
884.0,348
884.0,597
885.0,60
885.0,191
885.0,276
885.0,456
885.0,529
885.0,796
885.0,813
886.0,80
886.0,257
886.0,261
886.0,265
886.0,553
886.0,644
886.0,800
886.0,919
887.0,136
887.0,367
887.0,582
887.0,600
888.0,43
888.0,59
888.0,304
888.0,405
888.0,441
888.0,634
888.0,699
888.0,700
888.0,759
888.0,776
889.0,20
889.0,117
889.0,206
889.0,293
889.0,467
889.0,629
890.0,191
890.0,473
890.0,533
890.0,627
891.0,94
891.0,148
891.0,162
891.0,184
891.0,291
891.0,322
891.0,705
892.0,86
892.0,236
892.0,398
892.0,508
892.0,634
893.0,233
893.0,343
893.0,347
893.0,396
893.0,472
893.0,525
893.0,587
893.0,638
893.0,701
894.0,52
894.0,110
894.0,361
894.0,409
894.0,554
894.0,774
895.0,0
895.0,47
895.0,102
895.0,211
895.0,273
895.0,300
895.0,342
895.0,386
895.0,393
895.0,401
895.0,616
895.0,926
895.0,936
895.0,939
895.0,993
896.0,201
896.0,343
896.0,380
896.0,634
896.0,793
896.0,816
896.0,910
897.0,118
897.0,142
897.0,286
897.0,320
897.0,335
897.0,341
897.0,422
897.0,536
897.0,573
897.0,607
897.0,641
897.0,665
897.0,730
897.0,736
897.0,743
897.0,857
897.0,892
897.0,893
897.0,906
897.0,927
897.0,988
898.0,0
898.0,216
898.0,279
898.0,375
898.0,431
898.0,561
898.0,586
898.0,640
898.0,745
898.0,753
898.0,787
898.0,861
898.0,870
898.0,889
898.0,940
899.0,34
899.0,69
899.0,101
899.0,114
899.0,290
899.0,539
899.0,601
899.0,616
899.0,673
899.0,701
899.0,724
899.0,836
899.0,855
899.0,872
899.0,879
899.0,885
899.0,896
899.0,918
900.0,70
900.0,325
900.0,343
900.0,470
900.0,487
900.0,541
900.0,579
900.0,619
900.0,829
901.0,25
901.0,150
901.0,227
901.0,324
901.0,337
901.0,570
901.0,585
901.0,730
901.0,812
902.0,687
902.0,766
902.0,821
902.0,832
902.0,842
902.0,911
902.0,925
902.0,955
903.0,544
903.0,775
903.0,834
904.0,297
904.0,350
904.0,436
904.0,571
904.0,575
904.0,579
905.0,37
905.0,515
905.0,739
905.0,809
906.0,374
