t,i
36.0,479
36.0,545
36.0,608
36.0,681
36.0,693
36.0,694
36.0,700
36.0,724
36.0,751
36.0,767
36.0,776
36.0,795
36.0,805
36.0,819
36.0,826
36.0,843
36.0,846
36.0,854
36.0,855
36.0,868
36.0,884
36.0,888
36.0,900
36.0,903
36.0,908
36.0,926
36.0,927
36.0,940
36.0,965
36.0,995
37.0,3
37.0,40
37.0,48
37.0,65
37.0,79
37.0,119
37.0,226
37.0,254
37.0,278
37.0,311
37.0,351
37.0,409
37.0,433
37.0,434
37.0,457
37.0,482
37.0,533
37.0,534
37.0,537
37.0,542
37.0,565
37.0,616
37.0,619
37.0,643
37.0,654
37.0,667
37.0,668
37.0,673
37.0,682
37.0,695
37.0,721
37.0,744
37.0,745
37.0,788
37.0,789
37.0,790
37.0,792
37.0,830
37.0,860
37.0,865
37.0,874
37.0,878
37.0,901
37.0,905
37.0,918
37.0,934
37.0,949
37.0,960
37.0,962
37.0,970
37.0,978
37.0,984
37.0,991
38.0,13
38.0,37
38.0,58
38.0,60
38.0,71
38.0,77
38.0,81
38.0,141
38.0,161
38.0,166
38.0,225
38.0,248
38.0,279
38.0,281
38.0,292
38.0,312
38.0,319
38.0,365
38.0,367
38.0,399
38.0,447
38.0,490
38.0,559
38.0,562
38.0,606
38.0,609
38.0,628
38.0,635
38.0,718
38.0,763
38.0,768
38.0,784
38.0,809
38.0,850
38.0,886
38.0,892
38.0,961
38.0,971
38.0,981
38.0,990
39.0,147
39.0,211
39.0,214
39.0,268
39.0,293
39.0,308
39.0,428
39.0,508
39.0,513
39.0,540
39.0,592
39.0,598
39.0,636
39.0,661
39.0,696
39.0,735
39.0,749
39.0,774
39.0,782
39.0,823
39.0,924
39.0,944
39.0,974
39.0,980
40.0,74
40.0,92
40.0,109
40.0,110
40.0,133
40.0,148
40.0,172
40.0,198
40.0,204
40.0,232
40.0,243
40.0,289
40.0,381
40.0,452
40.0,494
40.0,495
40.0,547
40.0,587
40.0,709
40.0,785
40.0,807
40.0,837
41.0,3
41.0,6
41.0,7
41.0,67
41.0,80
41.0,216
41.0,249
41.0,366
41.0,391
41.0,408
41.0,491
41.0,505
41.0,539
41.0,738
41.0,781
41.0,810
41.0,863
41.0,933
41.0,969
41.0,997
42.0,181
42.0,292
42.0,434
42.0,620
42.0,639
42.0,679
42.0,747
42.0,788
42.0,847
42.0,957
43.0,159
43.0,282
43.0,461
43.0,485
43.0,527
43.0,577
43.0,662
43.0,697
43.0,712
43.0,753
43.0,975
44.0,58
44.0,60
44.0,189
44.0,216
44.0,395
44.0,402
44.0,488
44.0,519
44.0,526
44.0,537
44.0,653
44.0,687
44.0,698
44.0,796
45.0,65
45.0,249
45.0,446
45.0,611
45.0,701
46.0,266
46.0,354
46.0,386
46.0,575
46.0,707
46.0,881
46.0,922
46.0,958
47.0,31
47.0,117
47.0,341
47.0,625
48.0,86
48.0,149
48.0,220
48.0,701
48.0,796
49.0,297
50.0,458
50.0,575
51.0,304
52.0,296
52.0,630
53.0,345
54.0,12
54.0,98
54.0,188
54.0,651
55.0,202
55.0,759
57.0,83
59.0,30
59.0,553
60.0,564
62.0,579
66.0,579
75.0,406
75.0,512
75.0,672
76.0,574
78.0,210
82.0,298
83.0,332
84.0,728
86.0,315
87.0,265
87.0,456
88.0,445
88.0,451
92.0,440
93.0,567
93.0,906
94.0,631
94.0,659
95.0,836
97.0,151
98.0,431
99.0,142
99.0,156
99.0,412
99.0,938
100.0,189
100.0,397
100.0,591
102.0,363
102.0,470
104.0,153
104.0,616
105.0,612
105.0,918
106.0,247
106.0,477
106.0,588
106.0,671
106.0,988
107.0,125
107.0,316
107.0,400
107.0,682
108.0,15
108.0,115
108.0,174
108.0,339
108.0,352
108.0,394
108.0,881
109.0,259
109.0,892
109.0,935
110.0,14
110.0,377
110.0,416
110.0,612
110.0,719
110.0,855
110.0,955
111.0,59
111.0,359
112.0,86
112.0,259
112.0,371
113.0,584
113.0,740
114.0,503
114.0,528
114.0,589
114.0,741
114.0,830
114.0,911
115.0,532
116.0,82
116.0,157
116.0,245
116.0,307
116.0,939
117.0,167
117.0,183
117.0,206
117.0,568
118.0,531
119.0,44
119.0,95
119.0,399
119.0,667
119.0,705
119.0,731
119.0,741
119.0,970
120.0,82
120.0,242
120.0,267
120.0,422
120.0,774
120.0,993
121.0,353
121.0,365
121.0,485
122.0,60
122.0,865
123.0,57
123.0,114
123.0,173
123.0,194
123.0,312
123.0,360
123.0,381
123.0,652
123.0,676
123.0,748
123.0,795
123.0,822
123.0,885
124.0,326
124.0,523
124.0,711
124.0,760
124.0,864
125.0,132
125.0,158
125.0,564
125.0,669
126.0,277
126.0,291
126.0,340
126.0,509
126.0,599
126.0,632
126.0,639
126.0,726
126.0,850
127.0,0
127.0,22
127.0,26
127.0,147
127.0,176
127.0,368
127.0,381
127.0,609
127.0,641
127.0,766
127.0,787
127.0,812
127.0,888
128.0,177
128.0,378
128.0,733
128.0,902
128.0,989
129.0,63
129.0,98
129.0,250
129.0,321
129.0,558
129.0,749
129.0,769
129.0,796
129.0,891
130.0,0
130.0,297
130.0,433
130.0,596
130.0,638
130.0,757
130.0,783
131.0,4
131.0,64
131.0,67
131.0,116
131.0,213
131.0,800
131.0,842
131.0,843
132.0,63
132.0,131
132.0,249
132.0,272
132.0,330
132.0,522
132.0,802
132.0,825
132.0,832
132.0,904
132.0,919
133.0,112
133.0,166
133.0,185
133.0,275
133.0,329
133.0,520
133.0,926
133.0,963
134.0,2
134.0,140
134.0,318
134.0,493
134.0,548
134.0,605
134.0,620
134.0,677
134.0,973
135.0,5
135.0,31
135.0,132
135.0,143
135.0,285
135.0,473
135.0,570
135.0,701
135.0,809
135.0,866
135.0,954
135.0,996
136.0,168
136.0,257
136.0,262
136.0,292
136.0,336
136.0,578
136.0,585
136.0,893
